"ProjectCode","OrgCode","InspectionId","InspectionDate","InspectorInitials","InspectionSummary","RecentFollowUp","InspectionDocumentName","InspectionDocumentFilename","InspectionDocumentURL","FollowUpDocumentNames ","FollowUpDocumentFileames","FollowUpDocumentUrls","OtherDocument","OtherDocumentURL","AuthorizationID","Type of Inspection"
"Mount Milligan","MEM",61037,1/12/2016,"RCC","On January 12, 2016, Rory Cumming, Inspector of Mines, Electrical visited the Mount Milligan mine site to conduct an electrical inspection.","Mine Manager's Response","MEM Inspection Report 61037","M-236_Mount_Milligan_2016-01-12_InspectionRpt_61037_RCC","https://mines.empr.gov.bc.ca/api/document/586e90fcd2ec8e001b1c8887/fetch","Mine Manager's Response to Inspection Report 61037","M-236_Mount_Milligan_2016-01-12_InspectionRptResponse_61037_RCC","https://mines.empr.gov.bc.ca/api/document/582259826d6ad30017cd6dd7/fetch",,,,"Mechanical-ElectricalMechanical-ElectricalMechanical-ElectricalMechanical-Electrical"
"Mount Milligan","MEM",62156,3/3/2016,"LM","On March 3, 2016, Laurie Meade and Kris Bailey, Inspectors of Mines, Health and Safety conducted an inspection at the Mount Milligan mine. The inspectors reviewed the mine's first aid records, training records and mine rescue training records and inspected the warehouse and shops.","Mine Manager's Response","MEM Inspection Report 62156","M-236_Mount_Milligan_2016-03-03_InspectionRpt_62156_LM","https://mines.empr.gov.bc.ca/api/document/586c45a125f12d001d2f4da9/fetch","Mine Manager's Response to Inspection Report 62156","M-236_Mount_Milligan_2016-03-03_InspectionRptResponse_62156_LM","https://mines.empr.gov.bc.ca/api/document/582293ff6d6ad30017ce0b0f/fetch",,,,"General"
"Mount Milligan","MEM",63456,4/26/2016,"JVR","On April 26, 2016, James Robinson and Laurie Meade, Inspectors of Mines, Health and Safety, and Aaron Unger, Inspector of Mines, Ergonomics, visited the Mount Milligan mine to conduct a comprehensive inspection. ","Mine Manager's Response","MEM Inspection Report 63456","M-236_Mount_Milligan_2016-04-26_InspectionRpt_63456_JVR","https://mines.empr.gov.bc.ca/api/document/586c447925f12d001d2f4d4a/fetch","Mine Manager's Response to Inspection Report 63456","M-236_Mount_Milligan_2016-04-26_InspectionRptResponse_63456_JVR","https://mines.empr.gov.bc.ca/api/document/582294086d6ad30017ce0b36/fetch",,,,"General"
"Mount Milligan","MEM",63537,4/26/2016,"AAU","On April 26, 2016, James Robinson and Laurie Meade, Inspectors of Mines, Health and Safety, and Aaron Unger, Inspector of Mines, Ergonomics, visited the Mount Milligan mine to conduct a comprehensive inspection. ","Mine Manager's Response","MEM Inspection Report 63537","M-236_Mount_Milligan_2016-04-26_InspectionRpt_63537_AAU","https://mines.empr.gov.bc.ca/api/document/586c460625f12d001d2f4dbc/fetch","Mine Manager's Response to Inspection Report 63537","M-236_Mount_Milligan_2016-04-26_InspectionRptResponse_63537_AAU","https://mines.empr.gov.bc.ca/api/document/5822940b6d6ad30017ce0b43/fetch",,,,"Occupational Health"
"Mount Milligan","MEM",63598,4/26/2016,"LM","On April 26, 2016, James Robinson and Laurie Meade, Inspectors of Mines, Health and Safety, and Aaron Unger, Inspector of Mines, Ergonomics, visited the Mount Milligan mine to conduct a comprehensive inspection. ","Mine Manager's Response","MEM Inspection Report 63598","M-236_Mount_Milligan_2016-04-26_InspectionRpt_63598_LM","https://mines.empr.gov.bc.ca/api/document/586c447925f12d001d2f4d48/fetch","Mine Manager's Response to Inspection Report 63598","M-236_Mount_Milligan_2016-04-26_InspectionRptResponse_63598_LM","https://mines.empr.gov.bc.ca/api/document/582294016d6ad30017ce0b1c/fetch",,,,"General"
"Mount Milligan","MEM",65437,6/29/2016,"LM","On June 29, 2016, Lori Meade, Inspector of Mines, Health and Safety and Brian Oke, Inspector of Mines, Permitting, visited the Mount Milligan mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 65437","M-236_Mount_Milligan_2016-06-29_InspectionRpt_65437_LM","https://mines.empr.gov.bc.ca/api/document/586c447925f12d001d2f4d49/fetch","Mine Manager's Response to Inspection Report 65437","M-236_Mount_Milligan_2016-06-29_InspectionRptResponse_65437_LM","https://mines.empr.gov.bc.ca/api/document/582294036d6ad30017ce0b29/fetch",,,,"General"
"Mount Milligan","MEM",68056,9/1/2016,"LM","On September 1, 2016, Laurie Meade and Kris Bailey, Inspectors of Mines, Health and Safety conducted a general inspection of the Mount Milligan mine site.","Mine Manager's Response","MEM Inspection Report 68056","M-236_Mount_Milligan_2016-09-01_InspectionRpt_68056_LM",,,,,,,,"General"
"Mount Milligan","MEM",69820,9/7/2016,"SES","An inspection of the Mount Milligan mine was conducted on September 7, 2016, by Sean Shaw (Inspector of Mines, Environmental Geoscience), John Przeczek (contracted Inspector of Mines, Reclamation) and Brian Oke (Inspector of Mines, Permitting). The inspectors were accompanied by the mine manager and several mine employees as well as three members of the Nak ‘Azdli Whut’en First Nation.","Mine Manager's Response","MEM Inspection Report 69820","M-236_Mount_Milligan_2016-09-07_InspectionRpt_69820_Redacted",,,,,,,,"Reclamation"
"Red Chris","MEM",61776,2/15/2016,"RSP","On February 15, 2016, Scott Parker, Inspector of Mines, Health and Safety, visited the Red Chris mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 61776","M-240_Red_Chris_2016-02-15_InspectionRpt_61776_RSP","https://mines.empr.gov.bc.ca/api/document/586e95f0d2ec8e001b1c889a/fetch","Mine Manager's Response to Inspection Report 61776","M-240_Red_Chris_2016-02-15_InspectionRptResponse_61776_RSP","https://mines.empr.gov.bc.ca/api/document/5865609325f12d001d2f4d33/fetch",,,,"General"
"Red Chris","MEM",62716,3/24/2016,"JVR","On March 24, 2016, James Robinson, Inspector of Mines, and Garry MacDonald, Inspector of Mines, Mechanical,  visited the Red Chris mine site to conduct a general inspection.","Mine Manager's Response","MEM Inspection Report 62716","M-240_Red_Chris_2016-03-24_InspectionRpt_62716_JVR","https://mines.empr.gov.bc.ca/api/document/586e9664d2ec8e001b1c88ad/fetch","Mine Manager's Response to Inspection Report 62716","M-240_Red_Chris_2016-03-24_InspectionRptResponse_62716_JVR ","https://mines.empr.gov.bc.ca/api/document/582293136d6ad30017ce0441/fetch",,,,"General"
"Red Chris","MEM",63637,3/28/2016,"ERP","On March 28, 2016, Emmanuel Padley, Inspector of Mines, Electrical and Doug Flynn, Inspector of Mines, visited the Red Chris mine site to conduct a mechanical-electrical inspection. ","Mine Manager's Response","MEM Inspection Report 63637","M-240_Red_Chris_2016-04-28_InspectionRpt_63637_ERP","https://mines.empr.gov.bc.ca/api/document/586ea11ed2ec8e001b1c88c0/fetch","Mine Manager's Response to Inspection Report 63637","M-240_Red_Chris_2016-04-28_InspectionRptResponse_63637_ERP ","https://mines.empr.gov.bc.ca/api/document/5822931a6d6ad30017ce0468/fetch",,,,"Mechanical-Electrical"
"Red Chris","MEM",63977,4/28/2016,"DWF","On April 28-29, 2016, Doug Flynn, Senior Inspector of Mines, Health & Safety and Emmanuel Padley, Senior Inspector of Mines, Electrical, visited the Red Chris mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 63977","M-240_Red_Chris_2016-04-28_InspectionRpt_63977_DWF_Redacted","https://mines.empr.gov.bc.ca/api/document/586ea2f2d2ec8e001b1c88d3/fetch","Mine Manager's Response to Inspection Report 63977","M-240_Red_Chris_2016-04-28_InspectionRptResponse_63977_DWF_Redacted","https://mines.empr.gov.bc.ca/api/document/582293106d6ad30017ce0434/fetch",,,,"General"
"Red Chris","MEM",64760,6/8/2016,"BRB ","On June 8, 2016, Brenda Bailey, Senior Environmental Geoscientist and Liz Murphy, Reclamation Inspector, visited the Red Chris mine site to conduct an inspection on reclamation conditions. ","Inspection Complete","MEM Inspection Report 64760","M-240_Red_Chris_2016-06-08_InspectionRpt_64760_BRB","https://mines.empr.gov.bc.ca/api/document/5822931c6d6ad30017ce0475/fetch ",,,,,,,"Reclamation"
"Red Chris","MEM",65917,6/22/2016,"DWF","On June 22, 2016, Doug Flynn, Inspector of Mines, Health and Safety, visited the Red Chris mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 65917","M-240_Red_Chris_2016-06-22_InspectionRpt_65917_DWF","https://mines.empr.gov.bc.ca/api/document/5822930f6d6ad30017ce0427/fetch ","Mine Manager's Response to Inspection Report 65917","M-240_Red_Chris_2016-06-22_InspectionRptResponse_65917_DWF","https://mines.empr.gov.bc.ca/api/document/5881421521c6e7001b50d10c/fetch",,,,"General"
"Mount Polley","MEM",63681,4/29/2016,"RCC","On April 29, 2016, Rory Cumming, Inspector of Mines, Electrical,  visited the Mount Polley mine site to conduct an electrical inspection.","Inspection Complete","MEM Inspection Report 63681","M-200_Mount_Polley_2016-04-29_InspectionRpt_63681_RCC","https://mines.empr.gov.bc.ca/api/document/58753afa45b180001b296b29/fetch",,,,,,,"Electrical"
"Mount Polley","MEM",64397,5/19/2016,"HK","On May 19, 2016, Haley Kuppers, Inspector of Mines, Health and Safety, and Tania Demchuk, Inspector of Mines, Environmental Geoscientist,  visited the Mount Polley mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 64397","M-200_Mount_Polley_2016-05-19_InspectionRpt_64397_HK","https://mines.empr.gov.bc.ca/api/document/58753dcf195c6e001b3e18dc/fetch","Mine Manager's Response to Inspection Report 64397","M-200_Mount_Polley_2016-05-19_InspectionRptResponse_64397_HK","https://mines.empr.gov.bc.ca/api/document/58753b2545b180001b296b3c/fetch",,,,"General"
"Mount Polley","MEM",64617,6/6/2016,"SGR","On June 6, 2016, Jennifer McConnachie, Senior Reclamation Inspector, Sean Shaw, Senior Environmental Scientist, Sonja Meili, Reclamation Specialist, Steve Rothman, Senior Health and Safety Inspector and Blythe Golobic, Health and Safety Inspector, visited the Mount Polley mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 64617","M-200_Mount_Polley_2016-06-06_InspectionRpt_64617_SGR","https://mines.empr.gov.bc.ca/api/document/58753e5f195c6e001b3e18ef/fetch","Mine Manager's Response to Inspection Report 64617","M-200_Mount_Polley_2016-06-06_InspectionRptResponse_64617_SGR","https://mines.empr.gov.bc.ca/api/document/58753beb45b180001b296b4f/fetch",,,,"General"
"Copper Mountain","MEM",63579,4/25/2016,"RCC","On March 25, 2016, Rory Cumming, Inspector of Mines, Electrical, visited the Mount Polley mine to conduct a mechanical-electrical inspection. ","Inspection Complete","MEM Inspection Report 63579","M-29_Copper_Mountain_2016-04-25_InspectionRpt_63579_RCC","https://mines.empr.gov.bc.ca/api/document/5849bca89dcf6000197cc795/fetch",,,,,,,"Mechanical-Electrical"
"Copper Mountain","MEM",64276,5/17/2016,"AAU","On May 17, 2016, Aaron Unger, Inspector of Mines, Ergonomics and Blythe Golobic, Inspector of Mines, Health and Safety, visited the Copper Mountain mine site to conduct a health and safety inspection.  ","Mine Manager's Response","MEM Inspection Report 64276","M-29_Copper_Mountain_2016-05-17_InspectionRpt_64276_AAU_Redacted","https://mines.empr.gov.bc.ca/api/document/58754019195c6e001b3e1902/fetch","Mine Manager's Response to Inspection Report 64276","M-29_Copper_Mountain_2016-05-17_InspectionRptResponse_64276_AAU_Redacted","https://mines.empr.gov.bc.ca/api/document/582293e46d6ad30017ce0a66/fetch",,,,"Occupational Health"
"Highland Valley Copper","MEM",63580,4/26/2016,"RCC","On April 26, 2016, Rory Cumming, Inspector of Mines, Electrical, visited the Highland Valley Copper mine site to conduct a mechanical-electrical inspection. ","Mine Manager's Response","MEM Inspection Report 63580","M-11_HVC_2016-04-26_InspectionRpt_63580_RCC","https://mines.empr.gov.bc.ca/api/document/5875433d195c6e001b3e1915/fetch","Mine Manager's Response to Inspection Report 63580","M-11_HVC_2016-04-26_InspectionRptResponse_63580_RCC","https://mines.empr.gov.bc.ca/api/document/582293df6d6ad30017ce0a3f/fetch",,,,"Mechanical-Electrical"
"Gibraltar","MEM",63677,4/28/2016,"RCC","On April 28, 2016, Rory Cumming, Inspector of Mines, Electrical, visited the Gibraltar mine site to conduct a mechanical-electrical inspection. ",,"MEM Inspection Report 63677","M-40_Gibraltar_2016-04-28_InspectionRpt_63677_RCC","https://mines.empr.gov.bc.ca/api/document/58754435195c6e001b3e1928/fetch","Mine Manager's Response to Inspection Report 63677","M-40_Gibraltar_2016-04-28_InspectionRptResponse_63677_RCC","https://mines.empr.gov.bc.ca/api/document/582293e66d6ad30017ce0a80/fetch",,,,"Mechanical-Electrical"
"Gibraltar","MEM",64478,5/25/2016,"SGR","On May 25, 2016, Stephen Rothman, Inspector of Mines, Health and Safety, and Blythe Golobic, visited the Gibraltar mine site to conduct a general inspection. ",,"MEM Inspection Report 64478","M-40_Gibraltar_2016-05-25_InspectionRpt_64478_SGR_Redacted","https://mines.empr.gov.bc.ca/api/document/5875447e195c6e001b3e193b/fetch","Mine Manager's Response to Inspection Report 64478","M-40_Gibraltar_2016-05-25_InspectionRptResponse_64478_SGR_Redacted","https://mines.empr.gov.bc.ca/api/document/582293e56d6ad30017ce0a73/fetch",,,,"General"
"Gibraltar","MEM",66057,6/7/2016,"SM","On June 6, 2016, Sean Shaw, Environmental Geoscientist, Jennifer McConnachie, Reclamation, Sonia Meili, Reclamation and Blythe Golobic visited the Gibraltar mine to conduct an inspection of reclamation trials. ",,"MEM Inspection Report 66057","M-40_Gibraltar_2016-06-07_InspectionRpt_66057_SM_Redacted","https://mines.empr.gov.bc.ca/api/document/582293ed6d6ad30017ce0aa7/fetch","Mine Manager's Response to Inspection Report 66057","M-40_Gibraltar_2016-08-03_InspectionRptResponse_66057_Redacted","https://mines.empr.gov.bc.ca/api/document/582293e86d6ad30017ce0a9a/fetch","M-40_Gibraltar_2016-08-04_InspectionRpt_Followup_66057","https://mines.empr.gov.bc.ca/api/document/582293e76d6ad30017ce0a8d/fetch",,"Reclamation"
"Gibraltar","MEM",62796,3/30/2016,"SGR","On March 30, 2016, Stephen Rothman, Inspector of Mines, and Blythe Golobic, Inspector of Mines, Health and Safety, visited the Gibraltar mine site to conduct a general inspection. ",,"MEM Inspection Report 62796","M-40_Gibraltar_2016-03-30_InspectionRpt_62796_SGR","https://mines.empr.gov.bc.ca/api/document/5881403021c6e7001b50d0bc/fetch",,,,,,,"General"
"Brule","MEM",61056,1/13/2016,"RCC","On January 13, 2016, Rory Cumming, Inspector of Mines, Electrical, visited the Brule mine to conduct a mechanical-electrical inspection. ",,"MEM Inspection Report 61056","C-221_Brule_2016-01-13_InspectionRpt_61056_RCC","https://mines.empr.gov.bc.ca/api/document/58228d2d6d6ad30017cddbae/fetch",,,,,,,"Mechanical-Electrical"
"Brule","MEM",66096,5/17/2016,"SM","On May 17, 2016, Jennifer McConnachie, Senior Reclamation Inspector, Sonia Meili, Reclamation Inspector, and Liz Murphy visited the Brule mine to conduct an inspection on reclamation activities and conditions. ",,"MEM Inspection Report 66096","C-221_Brule_2016-05-17_InspectionRpt_66096_SM_Redacted","https://mines.empr.gov.bc.ca/api/document/5898fe4887567d001d187978/fetch","Mine Manager's Response to Inspection Report 66096","C-221_Brule_2016-08-03_InspectionRptResponse_66096","https://mines.empr.gov.bc.ca/api/document/5898fe4887567d001d18796b/fetch","C-221_Brule_2016-08-05_InspectionRpt_Followup_66096","https://mines.empr.gov.bc.ca/api/document/5898fe4887567d001d18795e/fetch",,"Reclamation"
"Brule","MEM",68378,5/17/2016,"VM","On May 17, 2016, Victor Marques, Geotechnical Inspector of Mines, visited the Brule mine site to conduct a geotechnical inspection. ",,"MEM Inspection Report 68378","C-221_Brule_2016-05-17_InspectionRpt_68378_VM_Redacted","https://mines.empr.gov.bc.ca/api/document/5899002087567d001d1879a4/fetch","Mine Manager's Response to Inspection Report 68378","C-221_Brule_2016-08-05_InspectionRpt_Followup_66096","https://mines.empr.gov.bc.ca/api/document/5899001f87567d001d187997/fetch",,,,"Geotechnical"
"Elkview Operations","MEM",67277,8/17/2016,"AD","On August 17, 2016, Alan Day, Inspector of Mines, Health and Safety, visited the Elkview mine site to conduct a general inspection. ",,"MEM Inspection Report 67277","C-2_Elkview_2016-08-17_InspectionRpt_67277_AD","https://mines.empr.gov.bc.ca/api/document/5881413821c6e7001b50d0e6/fetch","Mine Manager's Response to Inspection Report 67277","C-2_Elkview_2016-08-17_InspectionRptResponse_67277_AD","https://mines.empr.gov.bc.ca/api/document/588140ec21c6e7001b50d0d2/fetch",,,,"General"
"Elkview Operations","MEM",64136,5/12/2016,"TP","On May 12, 2016, Terry Patterson, Inspector of Mines, Electrical, visited the Elkview mine site to conduct a mechanical-electrical inspection. ",,"MEM Inspection Report 64136","C-2_Elkview_2016-05-12_InspectionRpt_64136_TP","https://mines.empr.gov.bc.ca/api/document/587689c445b180001b296c07/fetch","Mine Manager's Response to Inspection Report 64136","C-2_Elkview_2016-05-12_InspectionRptResponse_64136_TP","https://mines.empr.gov.bc.ca/api/document/582292896d6ad30017cdfe29/fetch",,,,"Mechanical-Electrical"
"Elkview Operations","MEM",63076,4/7/2016,"AD","On April 7, 2016, Alan Day, Inspector of Mines, Health and Safety, visited the Elkview mine site to conduct a general inspection. ",,"MEM Inspection Report 63076","C-2_Elkview_2016-04-07_InspectionRpt_63076_AD","https://mines.empr.gov.bc.ca/api/document/5822928a6d6ad30017cdfe36/fetch",,,,,,,"General"
"Elkview Operations","MEM",61516,1/27/2016,"JVR","On January 27, 2016, James Robinson, Inspector of Mines, and Garry MacDonald, Inspector of Mines, Mechanical, visited the Elkview mine site to conduct a general inspection. ",,"MEM Inspection Report 61516","C-2_Elkview_2016-01-27_InspectionRpt_61516_JVR_Redacted","https://mines.empr.gov.bc.ca/api/document/5876894545b180001b296bf4/fetch","Mine Manager's Response to Inspection Report 61516","C-2_Elkview_2016-01-27_InspectionRptReponse_61516_JVR_Redacted","https://mines.empr.gov.bc.ca/api/document/58227dad6d6ad30017cdc94c/fetch",,,,"General"
"Greenhills Operations","MEM",61460,1/26/2016,"JVR","On January 26, 2016, James Robinson, Inspector of Mines, and Garry MacDonald, Inspector of Mines, Mechanical, visited the Greenhills mine site to conduct a general inspection. ",,"MEM Inspection Report 61460","C-137_Greenhills_2016-01-26_InspectionRpt_61460_JVR_Redacted","https://mines.empr.gov.bc.ca/api/document/5898f19c87567d001d18794b/fetch","Mine Manager's Response to Inspection Report 61460","C-137_Greenhills_2016-01-26_InspectionRptResponse_61460_JVR_Redacted","https://mines.empr.gov.bc.ca/api/document/58227e1a6d6ad30017cdcb95/fetch",,,,"General"
"Greenhills Operations","MEM",62978,4/5/2016,"AD","On April 5, 2016, Alan Day, Inspector of Mines, Health and Safety, visited the Greenhills mine to conduct a general inspection. ",,"MEM Inspection Report 62978","C-137_Greenhills_2016-04-05_InspectionRpt_62978_AD","https://mines.empr.gov.bc.ca/api/document/582293d66d6ad30017ce09fe/fetch",,,,,,,"General"
"Greenhills Operations","MEM",64076,5/11/2016,"TP","On May 11, 2016, Terry Patterson, Inspector of Mines, Electrical, visited the Greenhills mine site to conduct a mechanical-electrical inspection. ",,"MEM Inspection Report 64076","C-137_Greenhills_2016-05-11_InspectionRpt_64076_TP","https://mines.empr.gov.bc.ca/api/document/582293d76d6ad30017ce0a0b/fetch",,,,,,,"Mechanical-Electrical"
